url,menu,swordfish,name
https://www.yelp.com/biz/atlantic-kitchen-randolph?osq=Seafood+Restaurant,http://atlantickitchenma.com/menu.html,False,
https://www.yelp.com/biz/aqua-pazza-boston-2?osq=Seafood+Restaurant,https://www.yelp.com/menu/aqua-pazza-boston-2/dinner-menu,True,
https://www.yelp.com/biz/loco-taqueria-and-oyster-bar-boston?osq=Seafood+Restaurant,http://locosouthboston.com/menu/,True,Loco Taqueria and Oyster Bar
https://www.yelp.com/biz/75-chestnut-boston?osq=Seafood+Restaurant,https://www.yelp.com/menu/75-chestnut-boston/classic-cocktails,False,
https://www.yelp.com/biz/the-capital-grille-boston?osq=Seafood+Restaurant,https://www.yelp.com/menu/the-capital-grille-boston/lunch-menu,False,
https://www.yelp.com/biz/legal-sea-foods-boston-46?osq=Seafood+Restaurant,https://www.yelp.com/menu/legal-sea-foods-boston-46/all-day-menu,False,
https://www.yelp.com/biz/ko-pies-at-the-shipyard-boston?osq=Seafood+Restaurant,http://kocateringandpies.com/menus/,False,KO Pies At the Shipyard
https://www.yelp.com/biz/citizen-public-house-and-oyster-bar-boston?osq=Seafood+Restaurant,http://www.citizenpub.com/menus/food/,False,Citizen Public House & Oyster Bar
https://www.yelp.com/biz/jp-seafood-cafe-jamaica-plain?osq=Seafood+Restaurant,https://www.yelp.com/menu/jp-seafood-cafe-jamaica-plain/sushi-bar-menu,False,
https://www.yelp.com/biz/abe-and-louies-boston-2?osq=Seafood+Restaurant,https://www.yelp.com/menu/abe-and-louies-boston-2/dinner-menu,True,
https://www.yelp.com/biz/rabias-boston-2?osq=Seafood+Restaurant,https://www.yelp.com/menu/rabias-boston-2,False,
https://www.yelp.com/biz/grill-23-and-bar-boston?osq=Seafood+Restaurant,https://www.yelp.com/menu/grill-23-and-bar-boston/dinner,True,
https://www.yelp.com/biz/legal-oysteria-charlestown?osq=Seafood+Restaurant,https://www.yelp.com/menu/legal-oysteria-charlestown/promotion,False,
https://www.yelp.com/biz/pescatore-somerville?osq=Seafood+Restaurant,https://www.yelp.com/menu/pescatore-somerville,True,
https://www.yelp.com/biz/legal-sea-foods-cambridge-9?osq=Seafood+Restaurant,https://www.yelp.com/menu/legal-sea-foods-cambridge-9/promotion,False,
https://www.yelp.com/biz/no-name-restaurant-south-boston?osq=Seafood+Restaurant,https://www.yelp.com/menu/no-name-restaurant-south-boston,True,
https://www.yelp.com/biz/legal-sea-foods-cambridge-10?osq=Seafood+Restaurant,https://www.yelp.com/menu/legal-sea-foods-cambridge-10/promotion,False,
